label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
ZERO,0.584694,0.628972,-1e-06,0.517823,0.599337,-0.034663,0.454196,0.519571,-0.049345,0.42427,0.430493,-0.063092,0.4474,0.362489,-0.067849,0.491814,0.412666,-0.003252,0.478055,0.36087,-0.043601,0.490435,0.444822,-0.058274,0.49958,0.459485,-0.063644,0.543069,0.406498,-0.002159,0.526291,0.359254,-0.045016,0.531558,0.463014,-0.045985,0.538151,0.465266,-0.035166,0.593888,0.411235,-0.010544,0.580976,0.364491,-0.056825,0.577624,0.465446,-0.037054,0.583087,0.476118,-0.010484,0.645788,0.424366,-0.022217,0.631516,0.383736,-0.04753,0.621921,0.453151,-0.032417,0.624961,0.470365,-0.013303
ZERO,0.585195,0.627432,-1e-06,0.518266,0.598226,-0.033823,0.454974,0.519504,-0.047991,0.424919,0.430937,-0.061541,0.44731,0.362969,-0.066244,0.493227,0.413195,-0.001896,0.47873,0.360296,-0.041802,0.490683,0.443844,-0.056454,0.500224,0.457873,-0.062007,0.544027,0.406357,-0.001232,0.526992,0.358323,-0.043686,0.532094,0.462174,-0.044414,0.539045,0.463952,-0.033553,0.5944,0.410631,-0.010061,0.581383,0.363513,-0.055878,0.578209,0.464283,-0.035645,0.584138,0.473973,-0.008939,0.646204,0.423502,-0.022188,0.631974,0.38283,-0.046959,0.62217,0.452157,-0.031455,0.625223,0.469082,-0.012251
ZERO,0.584782,0.630174,-1e-06,0.518215,0.599267,-0.034091,0.455619,0.519346,-0.048486,0.426106,0.431256,-0.062322,0.446559,0.361338,-0.067327,0.494368,0.412512,-0.000622,0.479939,0.360797,-0.040473,0.491467,0.444132,-0.055206,0.501245,0.459572,-0.060576,0.544619,0.406112,0.000124,0.527349,0.358832,-0.042289,0.532094,0.462395,-0.043385,0.539747,0.464486,-0.032577,0.594931,0.410557,-0.008741,0.581731,0.363877,-0.054749,0.578122,0.464538,-0.035128,0.583995,0.474405,-0.008662,0.646926,0.423301,-0.020915,0.63248,0.382695,-0.045765,0.62207,0.452464,-0.030453,0.624662,0.469698,-0.011261
ZERO,0.585189,0.628953,-1e-06,0.517939,0.598752,-0.034105,0.45524,0.51938,-0.048467,0.425369,0.43104,-0.062115,0.446718,0.36249,-0.066607,0.493138,0.411516,-0.001646,0.478596,0.360627,-0.04228,0.491518,0.445175,-0.057697,0.501343,0.459654,-0.063566,0.54432,0.405553,-0.000646,0.527175,0.359967,-0.043366,0.532377,0.463697,-0.044692,0.539342,0.464462,-0.034368,0.594824,0.410548,-0.009218,0.581931,0.363851,-0.054841,0.578146,0.464555,-0.034826,0.584084,0.473622,-0.008435,0.646471,0.423458,-0.021173,0.63263,0.384037,-0.045515,0.622121,0.453378,-0.030096,0.625096,0.469271,-0.011026
ZERO,0.584429,0.62847,-1e-06,0.518256,0.598599,-0.032641,0.45501,0.518637,-0.046405,0.425627,0.430586,-0.059831,0.447692,0.362494,-0.06461,0.494776,0.41235,-0.000967,0.479745,0.359948,-0.041683,0.491242,0.443608,-0.057649,0.50091,0.457952,-0.064046,0.545271,0.406369,-0.000973,0.527677,0.359204,-0.043749,0.532184,0.462339,-0.045346,0.539087,0.464202,-0.035206,0.595586,0.411225,-0.010436,0.581983,0.36411,-0.056153,0.578282,0.464309,-0.036355,0.583798,0.473479,-0.010145,0.647396,0.424223,-0.023137,0.632694,0.383713,-0.047746,0.622478,0.452853,-0.03233,0.625565,0.468859,-0.013318
ZERO,0.584856,0.628357,-1e-06,0.518313,0.598069,-0.033787,0.455543,0.51811,-0.048205,0.42628,0.430531,-0.062136,0.448168,0.362203,-0.067407,0.493962,0.411662,-0.001967,0.479704,0.359302,-0.043271,0.491527,0.443048,-0.059484,0.50139,0.458444,-0.065727,0.544852,0.406124,-0.001383,0.528028,0.358734,-0.044526,0.532822,0.462179,-0.046198,0.540011,0.465228,-0.035886,0.595653,0.41104,-0.010376,0.582766,0.363459,-0.056492,0.578907,0.463801,-0.036854,0.584481,0.47459,-0.01042,0.647624,0.424258,-0.022679,0.633361,0.38233,-0.04762,0.623342,0.451086,-0.032301,0.626493,0.468417,-0.013093
ZERO,0.585586,0.627099,-1e-06,0.51864,0.597375,-0.033487,0.455628,0.518247,-0.04765,0.425715,0.430065,-0.061252,0.447888,0.36234,-0.065949,0.494284,0.411128,-0.00165,0.48032,0.359833,-0.041791,0.492316,0.443104,-0.056781,0.501864,0.457324,-0.062441,0.545196,0.405181,-0.001005,0.52846,0.358924,-0.043052,0.533141,0.462197,-0.043863,0.539904,0.463312,-0.033264,0.595538,0.40998,-0.009835,0.582691,0.363518,-0.055208,0.578683,0.4644,-0.034982,0.584313,0.474041,-0.008448,0.647064,0.423132,-0.021964,0.633184,0.382732,-0.046336,0.622613,0.452079,-0.030716,0.625264,0.468811,-0.011484
ZERO,0.585423,0.627105,-1e-06,0.51866,0.598301,-0.034098,0.454905,0.518109,-0.048265,0.425639,0.42892,-0.061861,0.448067,0.361062,-0.066724,0.493433,0.410654,-0.001655,0.478534,0.358359,-0.042707,0.4911,0.44265,-0.058377,0.501215,0.457481,-0.064277,0.544469,0.404856,-0.000891,0.527418,0.357572,-0.043913,0.532763,0.461876,-0.044882,0.539874,0.464032,-0.033932,0.595107,0.409613,-0.009833,0.581785,0.362758,-0.05627,0.578588,0.464514,-0.036317,0.584474,0.47495,-0.009542,0.647165,0.422514,-0.022109,0.63247,0.382085,-0.047387,0.622805,0.452238,-0.032106,0.626198,0.469555,-0.01286
ZERO,0.585001,0.625611,-1e-06,0.517248,0.596509,-0.033188,0.454673,0.517304,-0.046966,0.425483,0.428455,-0.060283,0.446646,0.359611,-0.064871,0.493481,0.41003,-0.000655,0.479007,0.358443,-0.040744,0.491637,0.441227,-0.056084,0.501563,0.455934,-0.061958,0.544127,0.403816,-5.2e-05,0.527029,0.357295,-0.042191,0.532587,0.460411,-0.043619,0.539502,0.462375,-0.033397,0.594443,0.408153,-0.008896,0.581205,0.361128,-0.054454,0.578089,0.462221,-0.034662,0.583632,0.472488,-0.008336,0.646175,0.42051,-0.020977,0.631843,0.380355,-0.045463,0.621908,0.450081,-0.029971,0.624823,0.46661,-0.010796
ZERO,0.584844,0.625127,-1e-06,0.517631,0.595829,-0.034081,0.454803,0.516852,-0.048719,0.425249,0.428413,-0.062797,0.446157,0.359786,-0.068004,0.493416,0.410051,-0.001554,0.479262,0.358287,-0.042474,0.491573,0.441536,-0.057985,0.501562,0.456181,-0.063788,0.54385,0.404022,-0.000806,0.527005,0.356448,-0.043798,0.532145,0.460083,-0.044889,0.539331,0.461409,-0.034111,0.593883,0.408434,-0.009732,0.581241,0.36085,-0.055473,0.577697,0.461082,-0.035417,0.583574,0.470412,-0.008846,0.645364,0.420963,-0.022068,0.631906,0.380387,-0.046398,0.621709,0.44916,-0.031,0.624603,0.465611,-0.011922
